timestamp,symbol,open,high,low,close,timeframe,spread
2026-05-03T22:03:00.000Z,XAUUSD,4625.982,4626.473,4622.305,4626.447,M1,39.6
2026-05-03T22:04:00.000Z,XAUUSD,4626.56,4626.798,4622.638,4625.254,M1,36
2026-05-03T22:05:00.000Z,XAUUSD,4625.326,4626.783,4622.957,4626.615,M1,36
2026-05-03T22:06:00.000Z,XAUUSD,4626.723,4627.073,4625.686,4626.721,M1,36
2026-05-03T22:07:00.000Z,XAUUSD,4626.783,4626.825,4625.246,4625.763,M1,36
2026-05-03T22:08:00.000Z,XAUUSD,4625.582,4627.136,4625.582,4626.511,M1,36
2026-05-03T22:09:00.000Z,XAUUSD,4626.77,4626.77,4621.547,4622.082,M1,36
2026-05-03T22:10:00.000Z,XAUUSD,4622.075,4622.455,4619.473,4621.617,M1,36
2026-05-03T22:11:00.000Z,XAUUSD,4621.687,4622.943,4621.002,4622.307,M1,28
2026-05-03T22:12:00.000Z,XAUUSD,4622.317,4623.25,4620.26,4620.26,M1,28
2026-05-03T22:13:00.000Z,XAUUSD,4620.309,4621.473,4619.229,4620.486,M1,28
2026-05-03T22:14:00.000Z,XAUUSD,4620.68,4623.556,4620.631,4622.958,M1,28
2026-05-03T22:15:00.000Z,XAUUSD,4623.073,4623.073,4619.202,4619.436,M1,28
2026-05-03T22:16:00.000Z,XAUUSD,4619.498,4621.31,4617.399,4620.428,M1,28
2026-05-03T22:17:00.000Z,XAUUSD,4620.488,4622.816,4620.396,4622.422,M1,28
2026-05-03T22:18:00.000Z,XAUUSD,4622.575,4622.718,4620.916,4621.359,M1,28
2026-05-03T22:19:00.000Z,XAUUSD,4621.34,4621.946,4620.293,4621.809,M1,28
2026-05-03T22:20:00.000Z,XAUUSD,4621.735,4621.735,4619.741,4619.949,M1,28
2026-05-03T22:21:00.000Z,XAUUSD,4620.059,4621.417,4616.175,4616.564,M1,28
2026-05-03T22:22:00.000Z,XAUUSD,4616.708,4617.098,4612.336,4615.788,M1,28
2026-05-03T22:23:00.000Z,XAUUSD,4615.751,4618.716,4615.751,4617.959,M1,28
2026-05-03T22:24:00.000Z,XAUUSD,4617.901,4618.364,4616.862,4617.237,M1,28
2026-05-03T22:25:00.000Z,XAUUSD,4617.193,4619.379,4616.827,4619.278,M1,28
2026-05-03T22:26:00.000Z,XAUUSD,4619.127,4620.979,4619.127,4620.218,M1,28
2026-05-03T22:27:00.000Z,XAUUSD,4620.232,4621.138,4620.232,4621.138,M1,28
2026-05-03T22:28:00.000Z,XAUUSD,4621.056,4622.755,4620.469,4621.561,M1,28
2026-05-03T22:29:00.000Z,XAUUSD,4621.777,4621.89,4619.637,4620.598,M1,28
2026-05-03T22:30:00.000Z,XAUUSD,4620.73,4621.248,4619.724,4620.852,M1,28
2026-05-03T22:31:00.000Z,XAUUSD,4620.94,4622.529,4620.596,4621.947,M1,28
2026-05-03T22:32:00.000Z,XAUUSD,4622.003,4622.003,4621.035,4621.355,M1,28
2026-05-03T22:33:00.000Z,XAUUSD,4621.255,4621.545,4620.988,4621.255,M1,28
2026-05-03T22:34:00.000Z,XAUUSD,4621.059,4623.934,4621.059,4623.324,M1,28
2026-05-03T22:35:00.000Z,XAUUSD,4623.26,4623.941,4622.614,4623.268,M1,28
2026-05-03T22:36:00.000Z,XAUUSD,4623.207,4625.051,4623.01,4624.201,M1,28
2026-05-03T22:37:00.000Z,XAUUSD,4624.071,4625.196,4623.301,4624.863,M1,28
2026-05-03T22:38:00.000Z,XAUUSD,4624.985,4626.79,4624.985,4626.733,M1,28
2026-05-03T22:39:00.000Z,XAUUSD,4626.576,4626.639,4625.163,4625.328,M1,28
2026-05-03T22:40:00.000Z,XAUUSD,4625.33,4627.909,4625.33,4627.816,M1,28
2026-05-03T22:41:00.000Z,XAUUSD,4627.844,4628.093,4627.57,4627.617,M1,28
2026-05-03T22:42:00.000Z,XAUUSD,4627.618,4627.803,4626.945,4626.99,M1,28
2026-05-03T22:43:00.000Z,XAUUSD,4627.081,4629.338,4627.067,4628.935,M1,28
2026-05-03T22:44:00.000Z,XAUUSD,4628.719,4628.719,4627.465,4628.211,M1,28
2026-05-03T22:45:00.000Z,XAUUSD,4628.211,4628.951,4627.371,4628.446,M1,28
2026-05-03T22:46:00.000Z,XAUUSD,4628.47,4628.912,4628.116,4628.763,M1,28
2026-05-03T22:47:00.000Z,XAUUSD,4628.7,4628.931,4627.568,4627.568,M1,28
2026-05-03T22:48:00.000Z,XAUUSD,4627.401,4627.871,4627.046,4627.046,M1,28
2026-05-03T22:49:00.000Z,XAUUSD,4627.304,4627.304,4625.592,4626.259,M1,28
2026-05-03T22:50:00.000Z,XAUUSD,4626.264,4626.942,4625.714,4626.76,M1,28
2026-05-03T22:51:00.000Z,XAUUSD,4626.877,4627.158,4626.505,4627.049,M1,28
2026-05-03T22:52:00.000Z,XAUUSD,4627.101,4627.101,4623.913,4624.013,M1,28
2026-05-03T22:53:00.000Z,XAUUSD,4624.012,4624.088,4620.174,4621.023,M1,28
2026-05-03T22:54:00.000Z,XAUUSD,4621.022,4621.338,4619.584,4619.841,M1,28
2026-05-03T22:55:00.000Z,XAUUSD,4619.901,4621.274,4619.284,4619.964,M1,28
2026-05-03T22:56:00.000Z,XAUUSD,4619.905,4620.44,4619.018,4620.196,M1,28
2026-05-03T22:57:00.000Z,XAUUSD,4620.129,4621.086,4620.063,4620.237,M1,28
2026-05-03T22:58:00.000Z,XAUUSD,4620.232,4620.666,4618.151,4618.5,M1,28
2026-05-03T22:59:00.000Z,XAUUSD,4618.474,4619.997,4618.474,4618.962,M1,28
2026-05-03T23:00:00.000Z,XAUUSD,4618.949,4618.949,4616.663,4616.893,M1,28
2026-05-03T23:01:00.000Z,XAUUSD,4616.92,4618.966,4615.178,4618.108,M1,28
2026-05-03T23:02:00.000Z,XAUUSD,4618.021,4619.455,4616.293,4616.293,M1,28
2026-05-03T23:03:00.000Z,XAUUSD,4616.284,4618.909,4616.284,4618.909,M1,28
2026-05-03T23:04:00.000Z,XAUUSD,4618.609,4620.69,4618.609,4619.426,M1,28
2026-05-03T23:05:00.000Z,XAUUSD,4619.441,4619.939,4618.778,4619.018,M1,28
2026-05-03T23:06:00.000Z,XAUUSD,4619.364,4619.832,4618.722,4619.496,M1,28
2026-05-03T23:07:00.000Z,XAUUSD,4619.501,4619.728,4617.33,4617.33,M1,28
2026-05-03T23:08:00.000Z,XAUUSD,4617.267,4617.901,4613.128,4614.955,M1,28
2026-05-03T23:09:00.000Z,XAUUSD,4614.875,4615.621,4614.509,4615.246,M1,28
2026-05-03T23:10:00.000Z,XAUUSD,4615.503,4615.545,4613.288,4614.98,M1,28
