timestamp,symbol,open,high,low,close,timeframe,spread
2026-05-01T08:21:00.000Z,XAUUSD,4570.186,4571.385,4570.186,4570.455,M1,28
2026-05-01T08:22:00.000Z,XAUUSD,4570.384,4570.384,4568.762,4569.485,M1,28
2026-05-01T08:23:00.000Z,XAUUSD,4569.437,4570.403,4568.824,4569.04,M1,28
2026-05-01T08:24:00.000Z,XAUUSD,4568.879,4569.636,4568.269,4568.843,M1,28
2026-05-01T08:25:00.000Z,XAUUSD,4568.69,4569.34,4567.433,4568.806,M1,28
2026-05-01T08:26:00.000Z,XAUUSD,4568.868,4568.957,4566.651,4567.174,M1,28
2026-05-01T08:27:00.000Z,XAUUSD,4567.113,4568.593,4566.361,4567.854,M1,28
2026-05-01T08:28:00.000Z,XAUUSD,4567.799,4568.485,4566.718,4568.125,M1,28
2026-05-01T08:29:00.000Z,XAUUSD,4568.349,4568.349,4567.216,4567.382,M1,28
2026-05-01T08:30:00.000Z,XAUUSD,4567.349,4567.349,4566.033,4566.918,M1,28
2026-05-01T08:31:00.000Z,XAUUSD,4566.863,4569.059,4566.667,4568.359,M1,28
2026-05-01T08:32:00.000Z,XAUUSD,4568.574,4571.077,4568.574,4570.157,M1,28
2026-05-01T08:33:00.000Z,XAUUSD,4570.212,4571.875,4569.521,4571.377,M1,28
2026-05-01T08:34:00.000Z,XAUUSD,4571.292,4571.978,4571.005,4571.978,M1,28
2026-05-01T08:35:00.000Z,XAUUSD,4571.697,4572.095,4569.285,4569.66,M1,28
2026-05-01T08:36:00.000Z,XAUUSD,4569.738,4570.187,4565.971,4567.502,M1,28
2026-05-01T08:37:00.000Z,XAUUSD,4567.558,4570.011,4567.03,4569.078,M1,28
2026-05-01T08:38:00.000Z,XAUUSD,4568.767,4570.287,4568.096,4570.098,M1,28
2026-05-01T08:39:00.000Z,XAUUSD,4570.189,4570.483,4569.25,4570.183,M1,28
2026-05-01T08:40:00.000Z,XAUUSD,4570.127,4570.642,4569.448,4570.454,M1,28
2026-05-01T08:41:00.000Z,XAUUSD,4570.518,4571.033,4568.726,4568.726,M1,28
2026-05-01T08:42:00.000Z,XAUUSD,4568.948,4571.068,4568.948,4570.936,M1,28
2026-05-01T08:43:00.000Z,XAUUSD,4570.876,4571.267,4569.884,4570.58,M1,28
2026-05-01T08:44:00.000Z,XAUUSD,4570.521,4571.463,4570.521,4571.102,M1,28
2026-05-01T08:45:00.000Z,XAUUSD,4570.802,4572.713,4570.747,4571.747,M1,28
2026-05-01T08:46:00.000Z,XAUUSD,4571.783,4571.977,4569.215,4569.954,M1,28
2026-05-01T08:47:00.000Z,XAUUSD,4569.933,4570.515,4569.514,4569.718,M1,28
2026-05-01T08:48:00.000Z,XAUUSD,4569.652,4569.817,4568.472,4568.795,M1,28
2026-05-01T08:49:00.000Z,XAUUSD,4568.852,4571.42,4568.72,4571.116,M1,28
2026-05-01T08:50:00.000Z,XAUUSD,4571.048,4571.048,4568.741,4569.086,M1,28
2026-05-01T08:51:00.000Z,XAUUSD,4569.146,4569.151,4566.482,4566.929,M1,28
2026-05-01T08:52:00.000Z,XAUUSD,4566.988,4567.591,4564.984,4565.199,M1,28
2026-05-01T08:53:00.000Z,XAUUSD,4565.184,4566.582,4565.016,4565.911,M1,28
2026-05-01T08:54:00.000Z,XAUUSD,4565.908,4568.305,4565.727,4568.099,M1,28
2026-05-01T08:55:00.000Z,XAUUSD,4568.104,4568.637,4566.841,4567.533,M1,28
2026-05-01T08:56:00.000Z,XAUUSD,4567.649,4569.131,4567.157,4568.443,M1,28
2026-05-01T08:57:00.000Z,XAUUSD,4568.522,4569.375,4567.569,4569.271,M1,28
2026-05-01T08:58:00.000Z,XAUUSD,4569.153,4569.705,4568.091,4568.564,M1,28
2026-05-01T08:59:00.000Z,XAUUSD,4568.299,4568.986,4567.132,4568.986,M1,28
2026-05-01T09:00:00.000Z,XAUUSD,4569.046,4569.099,4567.263,4567.832,M1,28
2026-05-01T09:01:00.000Z,XAUUSD,4567.776,4568.734,4566.32,4566.852,M1,28
2026-05-01T09:02:00.000Z,XAUUSD,4566.904,4568.163,4564.614,4567.714,M1,28
2026-05-01T09:03:00.000Z,XAUUSD,4567.759,4568.006,4566.19,4566.231,M1,28
2026-05-01T09:04:00.000Z,XAUUSD,4566.034,4566.726,4564.298,4565.896,M1,28
2026-05-01T09:05:00.000Z,XAUUSD,4565.962,4567.227,4565.364,4567.042,M1,28
2026-05-01T09:06:00.000Z,XAUUSD,4566.987,4567.662,4566.282,4567.143,M1,28
2026-05-01T09:07:00.000Z,XAUUSD,4567.145,4567.249,4565.752,4566.713,M1,28
2026-05-01T09:08:00.000Z,XAUUSD,4566.564,4566.729,4564.481,4564.817,M1,28
2026-05-01T09:09:00.000Z,XAUUSD,4564.858,4566.554,4564.226,4566.431,M1,28
2026-05-01T09:10:00.000Z,XAUUSD,4566.269,4567.701,4566.252,4567.224,M1,28
2026-05-01T09:11:00.000Z,XAUUSD,4567.304,4567.498,4564.692,4565.286,M1,28
2026-05-01T09:12:00.000Z,XAUUSD,4565.047,4566.08,4564.969,4566.037,M1,28
2026-05-01T09:13:00.000Z,XAUUSD,4565.973,4565.973,4564.212,4564.952,M1,28
2026-05-01T09:14:00.000Z,XAUUSD,4564.869,4566.07,4564.602,4565.575,M1,28
2026-05-01T09:15:00.000Z,XAUUSD,4565.675,4566.581,4565.433,4566.238,M1,28
2026-05-01T09:16:00.000Z,XAUUSD,4566.444,4566.444,4564.548,4565.479,M1,28
2026-05-01T09:17:00.000Z,XAUUSD,4565.209,4567.197,4565.209,4566.437,M1,28
2026-05-01T09:18:00.000Z,XAUUSD,4566.691,4567.71,4566.665,4567.533,M1,28
2026-05-01T09:19:00.000Z,XAUUSD,4567.733,4567.971,4566.594,4567.971,M1,28
